id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
b4o-4XcElhwdKrly5Xu-EQ,red-white-and-chew-el-paso,"Red, White & Chew",https://s3-media2.fl.yelpcdn.com/bphoto/khfO6YOE7yudOhM4uSRYfg/o.jpg,False,https://www.yelp.com/biz/red-white-and-chew-el-paso?adjust_creative=j92aI3kQXl22y6M8LCGUvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j92aI3kQXl22y6M8LCGUvg,5,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'pizza', 'title': 'Pizza'}]",5.0,"{'latitude': 31.7775757, 'longitude': -106.4424559}",[],$,"{'address1': '', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79936', 'country': 'US', 'state': 'TX', 'display_address': ['El Paso, TX 79936']}",+19157014558,(915) 701-4558,2267.6269674262126
LmMSKsDf5_DYqOLB7oJVqA,little-habana-el-paso,Little Habana,https://s3-media4.fl.yelpcdn.com/bphoto/QV_pavH1giaZum6JUHZZpA/o.jpg,False,https://www.yelp.com/biz/little-habana-el-paso?adjust_creative=j92aI3kQXl22y6M8LCGUvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j92aI3kQXl22y6M8LCGUvg,9,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",5.0,"{'latitude': 31.78898309215594, 'longitude': -106.40826730374692}",[],,"{'address1': '6259 Airport Rd', 'address2': '', 'address3': None, 'city': 'El Paso', 'zip_code': '79925', 'country': 'US', 'state': 'TX', 'display_address': ['6259 Airport Rd', 'El Paso, TX 79925']}",+19155884425,(915) 588-4425,1865.0132579875074
_xjk4a8ozmWsT58scLBDaA,pop-s-pizza-el-paso,Pop’s Pizza,https://s3-media4.fl.yelpcdn.com/bphoto/iXueHKXThhArvAVrXQc86A/o.jpg,False,https://www.yelp.com/biz/pop-s-pizza-el-paso?adjust_creative=j92aI3kQXl22y6M8LCGUvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j92aI3kQXl22y6M8LCGUvg,17,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.5,"{'latitude': 31.725824570360235, 'longitude': -106.27028061078006}",['delivery'],,"{'address1': '12300 Pellicano Dr', 'address2': 'Ste C', 'address3': None, 'city': 'El Paso', 'zip_code': '79936', 'country': 'US', 'state': 'TX', 'display_address': ['12300 Pellicano Dr', 'Ste C', 'El Paso, TX 79936']}",+19155007040,(915) 500-7040,16638.76427867816
5YMNjD1y1_nRvYcIeSZ1ew,jvs-pizza-el-paso,JV's Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/Gjr_hG4If3ku1CaHHPL6rA/o.jpg,False,https://www.yelp.com/biz/jvs-pizza-el-paso?adjust_creative=j92aI3kQXl22y6M8LCGUvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j92aI3kQXl22y6M8LCGUvg,35,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 31.7701663986991, 'longitude': -106.318765615305}",['delivery'],$,"{'address1': '2000 N Lee Trevino Dr', 'address2': 'Ste A', 'address3': '', 'city': 'El Paso', 'zip_code': '79936', 'country': 'US', 'state': 'TX', 'display_address': ['2000 N Lee Trevino Dr', 'Ste A', 'El Paso, TX 79936']}",+19156331226,(915) 633-1226,10579.572374237634
Y7JwAn3Q12e2gQwqS065vg,la-toscana-juárez,La Toscana,https://s3-media2.fl.yelpcdn.com/bphoto/rV8Fck0ZCwcG7OxD9SqJlA/o.jpg,False,https://www.yelp.com/biz/la-toscana-ju%C3%A1rez?adjust_creative=j92aI3kQXl22y6M8LCGUvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j92aI3kQXl22y6M8LCGUvg,12,"[{'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 31.720879910312, 'longitude': -106.428742446005}",[],,"{'address1': 'Blvd. Manuel Gomez Morin 7424', 'address2': '', 'address3': '', 'city': 'Juárez', 'zip_code': '32510', 'country': 'MX', 'state': 'CHH', 'display_address': ['Blvd. Manuel Gomez Morin 7424', '32510 Juárez, Chihuahua', 'Mexico']}",+526566171362,+52 656 617 1362,8063.818731540716
ut2tDng5wgtE4MVpIjR6PQ,marcos-pizza-el-paso-2,Marco's Pizza,https://s3-media2.fl.yelpcdn.com/bphoto/Vn2WCL7vonYW67btxPLekw/o.jpg,False,https://www.yelp.com/biz/marcos-pizza-el-paso-2?adjust_creative=j92aI3kQXl22y6M8LCGUvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j92aI3kQXl22y6M8LCGUvg,16,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'fooddeliveryservices', 'title': 'Food Delivery Services'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.5,"{'latitude': 31.796718, 'longitude': -106.2452732}",[],,"{'address1': '3589 Rich Beam', 'address2': 'Ste 106', 'address3': None, 'city': 'El Paso', 'zip_code': '79938', 'country': 'US', 'state': 'TX', 'display_address': ['3589 Rich Beam', 'Ste 106', 'El Paso, TX 79938']}",+19152577100,(915) 257-7100,17207.770585468876
6HpxB48SAZtwag1CXyZYdw,pizxa-zone-el-paso-2,Pizxa Zone,https://s3-media3.fl.yelpcdn.com/bphoto/QRvpTYbOQ1ee3IH8KUO6aA/o.jpg,False,https://www.yelp.com/biz/pizxa-zone-el-paso-2?adjust_creative=j92aI3kQXl22y6M8LCGUvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j92aI3kQXl22y6M8LCGUvg,8,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",4.5,"{'latitude': 31.80927387832377, 'longitude': -106.25786863267422}","['pickup', 'delivery']",,"{'address1': '12311 Montana Ave', 'address2': '', 'address3': None, 'city': 'El Paso', 'zip_code': '79938', 'country': 'US', 'state': 'TX', 'display_address': ['12311 Montana Ave', 'El Paso, TX 79938']}",+19153038666,(915) 303-8666,16109.44570271769
pauLvnjENisxo8MskiwHOA,house-of-taste-el-paso,House of Taste,https://s3-media4.fl.yelpcdn.com/bphoto/QdYllymPlCy0mB1Kc5jR3g/o.jpg,False,https://www.yelp.com/biz/house-of-taste-el-paso?adjust_creative=j92aI3kQXl22y6M8LCGUvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j92aI3kQXl22y6M8LCGUvg,11,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.5,"{'latitude': 31.87800282401783, 'longitude': -106.4275452}",['delivery'],,"{'address1': '9402 Stonewall Rd', 'address2': None, 'address3': None, 'city': 'El Paso', 'zip_code': '79924', 'country': 'US', 'state': 'TX', 'display_address': ['9402 Stonewall Rd', 'El Paso, TX 79924']}",+19157552947,(915) 755-2947,9408.601605893655
v4igGVxkDA8FkMa9TZaNsg,the-shack-slice-and-brew-el-paso,The Shack Slice & Brew,https://s3-media2.fl.yelpcdn.com/bphoto/DaGP1Ud0s_s-9EhLug3tZA/o.jpg,False,https://www.yelp.com/biz/the-shack-slice-and-brew-el-paso?adjust_creative=j92aI3kQXl22y6M8LCGUvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j92aI3kQXl22y6M8LCGUvg,69,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'brewpubs', 'title': 'Brewpubs'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]",4.5,"{'latitude': 31.78466, 'longitude': -106.356711}",[],$$,"{'address1': '3021 McRae Blvd', 'address2': '', 'address3': None, 'city': 'El Paso', 'zip_code': '79925', 'country': 'US', 'state': 'TX', 'display_address': ['3021 McRae Blvd', 'El Paso, TX 79925']}",+19156034040,(915) 603-4040,6735.255546380884
0myOy1rb93UW2geqNyerVA,marcos-pizza-el-paso-5,Marco's Pizza,https://s3-media3.fl.yelpcdn.com/bphoto/loEc9lFvz6gF-Aq6Pgxnag/o.jpg,False,https://www.yelp.com/biz/marcos-pizza-el-paso-5?adjust_creative=j92aI3kQXl22y6M8LCGUvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j92aI3kQXl22y6M8LCGUvg,47,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'salad', 'title': 'Salad'}]",4.5,"{'latitude': 31.88634, 'longitude': -106.570074}",[],,"{'address1': '7460 Cimarron Market', 'address2': '', 'address3': None, 'city': 'El Paso', 'zip_code': '79911', 'country': 'US', 'state': 'TX', 'display_address': ['7460 Cimarron Market', 'El Paso, TX 79911']}",+19156005330,(915) 600-5330,16991.22528823331
