,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
0,VVBM3mRwzTdp3_GHiXAOvw,sunnys-sushi-el-paso-4,Sunny's Sushi,https://s3-media2.fl.yelpcdn.com/bphoto/FG-4wIwOvI6MubaWzluDxw/o.jpg,False,https://www.yelp.com/biz/sunnys-sushi-el-paso-4?adjust_creative=j92aI3kQXl22y6M8LCGUvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j92aI3kQXl22y6M8LCGUvg,28,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.5,"{'latitude': 31.789485, 'longitude': -106.506293}","['delivery', 'pickup']","{'address1': '4024 N Mesa St', 'address2': 'Ste A B', 'address3': None, 'city': 'El Paso', 'zip_code': '79902', 'country': 'US', 'state': 'TX', 'display_address': ['4024 N Mesa St', 'Ste A B', 'El Paso, TX 79902']}",+19155003660,(915) 500-3660,7476.283399715998,
1,6jrqBPYFLAbkpbQtz7rBwQ,tsunami-sushi-el-paso,Tsunami Sushi,https://s3-media4.fl.yelpcdn.com/bphoto/dBYSOn1GUsMJLtIQQ3swzA/o.jpg,False,https://www.yelp.com/biz/tsunami-sushi-el-paso?adjust_creative=j92aI3kQXl22y6M8LCGUvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j92aI3kQXl22y6M8LCGUvg,52,"[{'alias': 'sushi', 'title': 'Sushi Bars'}]",4.5,"{'latitude': 31.9226231089824, 'longitude': -106.438159212154}","['delivery', 'pickup']","{'address1': '10710 Gateway N Blvd', 'address2': 'Ste B8', 'address3': None, 'city': 'El Paso', 'zip_code': '79924', 'country': 'US', 'state': 'TX', 'display_address': ['10710 Gateway N Blvd', 'Ste B8', 'El Paso, TX 79924']}",+19152718770,(915) 271-8770,14406.622125829364,
2,qKVEl-_-81mrr_8lEiFCBw,kaizen-sushi-el-paso,Kaizen Sushi,https://s3-media2.fl.yelpcdn.com/bphoto/EbZJSxBsEbo7gjYjFuWJ-Q/o.jpg,False,https://www.yelp.com/biz/kaizen-sushi-el-paso?adjust_creative=j92aI3kQXl22y6M8LCGUvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j92aI3kQXl22y6M8LCGUvg,75,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'poke', 'title': 'Poke'}]",4.0,"{'latitude': 31.791817, 'longitude': -106.261067}","['delivery', 'pickup']","{'address1': '12380 Edgemere Blvd', 'address2': 'Ste 106', 'address3': '', 'city': 'El Paso', 'zip_code': '79938', 'country': 'US', 'state': 'TX', 'display_address': ['12380 Edgemere Blvd', 'Ste 106', 'El Paso, TX 79938']}",+19153011200,(915) 301-1200,15712.527760795845,
3,eJmnNhwz5d6bSOUt5qPCDQ,kungfu-noodle-horizon-city,Kungfu Noodle,https://s3-media3.fl.yelpcdn.com/bphoto/M_YnO0iT1JHGIZjw_9-Oaw/o.jpg,False,https://www.yelp.com/biz/kungfu-noodle-horizon-city?adjust_creative=j92aI3kQXl22y6M8LCGUvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j92aI3kQXl22y6M8LCGUvg,24,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.0,"{'latitude': 31.682069649374412, 'longitude': -106.197473667562}","['delivery', 'pickup']","{'address1': '14010 Horizon Blvd', 'address2': 'Ste J&K', 'address3': None, 'city': 'Horizon City', 'zip_code': '79928', 'country': 'US', 'state': 'TX', 'display_address': ['14010 Horizon Blvd', 'Ste J&K', 'Horizon City, TX 79928']}",+19155003311,(915) 500-3311,25012.33705435403,
4,0HFQz4EhF6RFgjqWh7b9jw,kees-teriyaki-and-sushi-el-paso,Kee's Teriyaki & Sushi,https://s3-media4.fl.yelpcdn.com/bphoto/7VPCf-Gxb7FEN7YbjEMRdQ/o.jpg,False,https://www.yelp.com/biz/kees-teriyaki-and-sushi-el-paso?adjust_creative=j92aI3kQXl22y6M8LCGUvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j92aI3kQXl22y6M8LCGUvg,67,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'korean', 'title': 'Korean'}]",4.0,"{'latitude': 31.76683744928383, 'longitude': -106.28646652049824}",['delivery'],"{'address1': '11660 Montwood Dr', 'address2': 'Ste P', 'address3': None, 'city': 'El Paso', 'zip_code': '79936', 'country': 'US', 'state': 'TX', 'display_address': ['11660 Montwood Dr', 'Ste P', 'El Paso, TX 79936']}",+19158559100,(915) 855-9100,13636.271599303238,$$
5,wte-LnPb2ZM-ueny1CRhgQ,green-wok-el-paso,Green Wok,https://s3-media4.fl.yelpcdn.com/bphoto/VKOQehXAHpYCqH4mUEVF3Q/o.jpg,False,https://www.yelp.com/biz/green-wok-el-paso?adjust_creative=j92aI3kQXl22y6M8LCGUvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j92aI3kQXl22y6M8LCGUvg,38,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.0,"{'latitude': 31.8214263916016, 'longitude': -106.444953918457}",['delivery'],"{'address1': '5017 Dyer St', 'address2': None, 'address3': '', 'city': 'El Paso', 'zip_code': '79930', 'country': 'US', 'state': 'TX', 'display_address': ['5017 Dyer St', 'El Paso, TX 79930']}",+19156037333,(915) 603-7333,3541.906399799475,$
6,rJyk0rfMt4QYKxEBxF3ouQ,birrieria-el-guero-el-paso,Birrieria El Guero,https://s3-media2.fl.yelpcdn.com/bphoto/IRnZ3oZGtK62JZa_vCbeYg/o.jpg,False,https://www.yelp.com/biz/birrieria-el-guero-el-paso?adjust_creative=j92aI3kQXl22y6M8LCGUvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j92aI3kQXl22y6M8LCGUvg,7,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'ramen', 'title': 'Ramen'}]",4.0,"{'latitude': 31.81087, 'longitude': -106.21424}","['delivery', 'pickup']","{'address1': '3800 N Zaragoza Rd', 'address2': '', 'address3': None, 'city': 'El Paso', 'zip_code': '79938', 'country': 'US', 'state': 'TX', 'display_address': ['3800 N Zaragoza Rd', 'El Paso, TX 79938']}",+19152327364,(915) 232-7364,20207.99257751612,
7,rLvVy-fyrfja21qHWW1kiA,kees-teriyaki-and-sushi-el-paso-2,Kee's Teriyaki & Sushi,https://s3-media1.fl.yelpcdn.com/bphoto/Mti4vEmWn7oJmzd15qXpZA/o.jpg,False,https://www.yelp.com/biz/kees-teriyaki-and-sushi-el-paso-2?adjust_creative=j92aI3kQXl22y6M8LCGUvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j92aI3kQXl22y6M8LCGUvg,81,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.0,"{'latitude': 31.8117733001709, 'longitude': -106.444313049316}",['delivery'],"{'address1': '3910 Dyer St', 'address2': '', 'address3': '', 'city': 'El Paso', 'zip_code': '79930', 'country': 'US', 'state': 'TX', 'display_address': ['3910 Dyer St', 'El Paso, TX 79930']}",+19155668999,(915) 566-8999,2588.6734448419475,$$
8,ZSW9tOK2rZjv3VzIRKf2mg,noodles-and-dumplings-el-paso,Noodles & Dumplings,https://s3-media1.fl.yelpcdn.com/bphoto/O055znZatbDE7ooD0ww6FA/o.jpg,False,https://www.yelp.com/biz/noodles-and-dumplings-el-paso?adjust_creative=j92aI3kQXl22y6M8LCGUvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j92aI3kQXl22y6M8LCGUvg,405,"[{'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'chinese', 'title': 'Chinese'}]",4.0,"{'latitude': 31.831965, 'longitude': -106.53429}","['delivery', 'pickup']","{'address1': '6303 N Mesa St', 'address2': 'Unit A', 'address3': None, 'city': 'El Paso', 'zip_code': '79912', 'country': 'US', 'state': 'TX', 'display_address': ['6303 N Mesa St', 'Unit A', 'El Paso, TX 79912']}",+19152624405,(915) 262-4405,10978.712020157593,$$
9,YXc0b1l96F5t4JqeE62pWA,silverlake-ramen-el-paso,Silverlake Ramen,https://s3-media2.fl.yelpcdn.com/bphoto/k5kFKNKaMjmID6FSOXKgvA/o.jpg,False,https://www.yelp.com/biz/silverlake-ramen-el-paso?adjust_creative=j92aI3kQXl22y6M8LCGUvg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=j92aI3kQXl22y6M8LCGUvg,131,"[{'alias': 'ramen', 'title': 'Ramen'}]",4.0,"{'latitude': 31.8855138, 'longitude': -106.5799117411044}","['delivery', 'pickup']","{'address1': '6450 N Desert Blvd', 'address2': 'Ste B101', 'address3': '', 'city': 'El Paso', 'zip_code': '79912', 'country': 'US', 'state': 'TX', 'display_address': ['6450 N Desert Blvd', 'Ste B101', 'El Paso, TX 79912']}",+19152496085,(915) 249-6085,17684.51272846844,$$
