name,rank,year,company.founded,company.name,company.relationship,company.sector,company.type,demographics.age,demographics.gender,location.citizenship,location.country code,location.gdp,location.region,wealth.type,wealth.worth in billions,wealth.how.category,wealth.how.from emerging,wealth.how.industry,wealth.how.inherited,wealth.how.was founder,wealth.how.was political,First_Name,Last_Name
Bill Gates,1,1996,1975,Microsoft,founder, Software,new,40,male,United States,USA,8100000000000.0,North America,founder non-finance,18.5,New Sectors,True,Technology-Computer,not inherited,True,True,Bill,Gates
Bill Gates,1,2001,1975,Microsoft,founder, Software,new,45,male,United States,USA,10600000000000.0,North America,founder non-finance,58.7,New Sectors,True,Technology-Computer,not inherited,True,True,Bill,Gates
Bill Gates,1,2014,1975,Microsoft,founder, Software,new,58,male,United States,USA,0.0,North America,founder non-finance,76.0,New Sectors,True,Technology-Computer,not inherited,True,True,Bill,Gates
Warren Buffett,2,1996,1962,Berkshire Hathaway,founder, Finance,new,65,male,United States,USA,8100000000000.0,North America,founder non-finance,15.0,Traded Sectors,True,Consumer,not inherited,True,True,Warren,Buffett
Warren Buffett,2,2001,1962,Berkshire Hathaway,founder, Finance,new,70,male,United States,USA,10600000000000.0,North America,founder non-finance,32.3,Traded Sectors,True,Consumer,not inherited,True,True,Warren,Buffett
Carlos Slim Helu,2,2014,1990,Telmex,founder, Communications,privatization,74,male,Mexico,MEX,0.0,Latin America,privatized and resources,72.0,Non-Traded Sectors,True,Media,not inherited,True,True,Carlos,SlimHelu
Oeri Hoffman and Sacher,3,1996,1896,F. Hoffmann-La Roche,,pharmaceuticals,new,0,,Switzerland,CHE,330000000000.0,Europe,inherited,13.1,New Sectors,True,Technology-Medical,3rd generation,True,True,Oeri,HoffmanandSacher
Paul Allen,3,2001,1975,Microsoft,founder,technology,new,48,male,United States,USA,10600000000000.0,North America,founder non-finance,30.4,New Sectors,True,Technology-Computer,not inherited,True,True,Paul,Allen
Amancio Ortega,3,2014,1975,Zara,founder,Fashion,new,77,male,Spain,ESP,0.0,Europe,founder non-finance,64.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,Amancio,Ortega
Lee Shau Kee,4,1996,1976,Henderson Land Development,founder/chairman,real estate,new,68,male,Hong Kong,HKG,160000000000.0,East Asia,self-made finance,12.7,Financial,True,Real Estate,not inherited,True,True,Lee,ShauKee
Larry Ellison,4,2001,1977,Oracle,founder, software, new,56,male,United States,USA,10600000000000.0,North America,founder non-finance,26.0,New Sectors,True,Technology-Computer,not inherited,True,True,Larry,Ellison
Warren Buffett,4,2014,1839,Berkshire Hathaway,founder, Finance,aquired,83,male,United States,USA,0.0,North America,founder non-finance,58.2,Traded Sectors,True,Consumer,not inherited,True,True,Warren,Buffett
Tsai Wan-lin,5,1996,1962,Lin Yuan Group,founder,banking and insurance,new,71,male,Taiwan,Taiwan,0.0,East Asia,self-made finance,12.2,Financial,True,Hedge funds,not inherited,True,True,Tsai,Wan-lin
Theo and Karl Albrecht,5,2001,1913,Aldi,founder,groceries,new,0,male,Germany,DEU,1950000000000.0,Europe,founder non-finance,25.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,Theo,andKarlAlbrecht
Larry Ellison,5,2014,1977,Oracle,founder, software, new,69,male,United States,USA,0.0,North America,founder non-finance,48.0,New Sectors,True,Technology-Computer,not inherited,True,True,Larry,Ellison
