company.founded,company.name,company.relationship,company.sector,company.type,demographics.age,demographics.gender,location.citizenship,location.country code,location.gdp,location.region,name,rank,wealth.how.category,wealth.how.from emerging,wealth.how.industry,wealth.how.inherited,wealth.how.was founder,wealth.how.was political,wealth.type,wealth.worth in billions,year
1975,Microsoft,founder, Software,new,40,male,United States,USA,8100000000000.0,North America,Bill Gates,1,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,18.5,1996
1975,Microsoft,founder, Software,new,45,male,United States,USA,10600000000000.0,North America,Bill Gates,1,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,58.7,2001
1975,Microsoft,founder, Software,new,58,male,United States,USA,0.0,North America,Bill Gates,1,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,76.0,2014
1962,Berkshire Hathaway,founder, Finance,new,65,male,United States,USA,8100000000000.0,North America,Warren Buffett,2,Traded Sectors,True,Consumer,not inherited,True,True,founder non-finance,15.0,1996
1962,Berkshire Hathaway,founder, Finance,new,70,male,United States,USA,10600000000000.0,North America,Warren Buffett,2,Traded Sectors,True,Consumer,not inherited,True,True,founder non-finance,32.3,2001
1990,Telmex,founder, Communications,privatization,74,male,Mexico,MEX,0.0,Latin America,Carlos Slim Helu,2,Non-Traded Sectors,True,Media,not inherited,True,True,privatized and resources,72.0,2014
1896,F. Hoffmann-La Roche,,pharmaceuticals,new,0,,Switzerland,CHE,330000000000.0,Europe,Oeri Hoffman and Sacher,3,New Sectors,True,Technology-Medical,3rd generation,True,True,inherited,13.1,1996
1975,Microsoft,founder,technology,new,48,male,United States,USA,10600000000000.0,North America,Paul Allen,3,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,30.4,2001
1975,Zara,founder,Fashion,new,77,male,Spain,ESP,0.0,Europe,Amancio Ortega,3,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,founder non-finance,64.0,2014
1976,Henderson Land Development,founder/chairman,real estate,new,68,male,Hong Kong,HKG,160000000000.0,East Asia,Lee Shau Kee,4,Financial,True,Real Estate,not inherited,True,True,self-made finance,12.7,1996
1977,Oracle,founder, software, new,56,male,United States,USA,10600000000000.0,North America,Larry Ellison,4,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,26.0,2001
1839,Berkshire Hathaway,founder, Finance,aquired,83,male,United States,USA,0.0,North America,Warren Buffett,4,Traded Sectors,True,Consumer,not inherited,True,True,founder non-finance,58.2,2014
1962,Lin Yuan Group,founder,banking and insurance,new,71,male,Taiwan,Taiwan,0.0,East Asia,Tsai Wan-lin,5,Financial,True,Hedge funds,not inherited,True,True,self-made finance,12.2,1996
1913,Aldi,founder,groceries,new,0,male,Germany,DEU,1950000000000.0,Europe,Theo and Karl Albrecht,5,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,founder non-finance,25.0,2001
1977,Oracle,founder, software, new,69,male,United States,USA,0.0,North America,Larry Ellison,5,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,48.0,2014
1963,Sun Hung Kai Properties,Relation,real estate,new,0,male,Hong Kong,HKG,160000000000.0,East Asia,Walter Thomas and Raymond Kwok,6,Financial,True,Real Estate,father,True,True,inherited,11.2,1996
1980,Kingdom Holding Company,founder,construction/real estate/banking,new,44,male,Saudi Arabia,SAU,183000000000.0,Middle East/North Africa,Prince Alwaleed Bin Talal Alsaud,6,Financial,True,Money Management,not inherited,True,True,privatized and resources,20.0,2001
1940,Koch industries,relation,  Oil refining,new,78,male,United States,USA,0.0,North America,Charles Koch,6,Financial,True,Diversified financial,father,True,True,inherited,40.0,2014
1940,Koch industries,relation, Oil refining,new,73,male,United States,USA,0.0,North America,David Koch,6,Financial,True,Diversified financial,father,True,True,inherited,40.0,2014
1971,Cheung king,founder,real estate,new,67,male,Hong Kong,HKG,160000000000.0,East Asia,Li Ka-shing,7,Financial,True,Real Estate,not inherited,True,True,self-made finance,10.6,1996
1962,Walmart,relation,retail, new,53,male,United States,USA,10600000000000.0,North America,Jim Walton,7,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,inherited,18.8,2001
1894,Seibu Corporation,relation,real estate,aquired,61,male,Japan,JPN,4710000000000.0,East Asia,Yoshiaki Tsutsumi,8,Financial,True,Real Estate,father,True,True,inherited,9.2,1996
1962,Walmart,relation, retail, new,55,male,United States,USA,10600000000000.0,North America,John Walton,8,Traded Sectors,True,Consumer,father,True,True,inherited,18.7,2001
1952,Las Vegas Sands,founder, casinos, acquired,80,male,United States,USA,0.0,North America,Sheldon Adelson,8,Financial,True,Real Estate,not inherited,True,True,self-made finance,38.0,2014
1913,Aldi Nord,Relation,groceries,new,0,male,Germany,DEU,2500000000000.0,Europe,Theo and Karl Albrecht,9,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,inherited,9.0,1996
1962,Walmart,relation,retail, new,57,male,United States,USA,10600000000000.0,North America,S Robson Walton,9,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,inherited,18.6,2001
1962,Walmart,relation, retail, new,59,female,United States,USA,0.0,North America,Christy Walton,9,Non-Traded Sectors,True,"Retail, Restaurant",spouse/widow,True,True,inherited,36.7,2014
1951,Tetra Pak,relation,food packaging,new,0,male,Sweden,SWE,288000000000.0,Europe,Hans and Gad Rausing,10,Traded Sectors,True,Consumer,father,True,True,inherited,9.0,1996
1962,Walmart,relation,retail, new,52,female,United States,USA,10600000000000.0,North America,Alice Walton,10,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,inherited,18.5,2001
1962,Walmart,relation,retail, new,81,female,United States,USA,10600000000000.0,North America,Helen Walton,10,Traded Sectors,True,Consumer,spouse/widow,True,True,inherited,18.5,2001
1962,Walmart,relation,retail, new,66,male,United States,USA,0.0,North America,Jim Walton,10,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,inherited,34.7,2014
1916,BMW,relation,cars,new,68,female,Germany,DEU,2500000000000.0,Europe,Johanna Quandt,11,Traded Sectors,True,Consumer,spouse/widow,True,True,inherited,8.1,1996
1909,L'Oreal,relation,cosmetics,new,91,female,France,FRA,0.0,Europe,Liliane Bettencourt,11,Traded Sectors,True,Consumer,father,True,True,inherited,34.5,2014
1756,Franz Haniel & Cie,,,new,0,,Germany,DEU,2500000000000.0,Europe,Haniel family,12,Financial,True,Diversified financial,not inherited,True,True,inherited,8.1,1996
1916,BMW,relation,cars,new,73,female,Germany,DEU,1950000000000.0,Europe,Johanna Quandt,12,Traded Sectors,True,Consumer,spouse/widow,True,True,inherited,17.8,2001
1947, H&M,relation, fashion, new,66,male,Sweden,SWE,0.0,Europe,Stefan Persson,12,Traded Sectors,True,Consumer,father,True,True,inherited,34.4,2014
1975,Microsoft,founder,technology,new,43,male,United States,USA,8100000000000.0,North America,Paul Allen,13,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,7.5,1996
1975,Microsoft,CEO,technology,new,44,male,United States,USA,10600000000000.0,North America,Steven Ballmer,13,New Sectors,True,Technology-Computer,not inherited,True,True,executive,16.6,2001
1962,Walmart,relation,retail, new,64,female,United States,USA,0.0,North America,Alice Walton,13,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,inherited,34.3,2014
1934,Thomson Corporation (now Thomson Reuters),relation,media,acquired,72,male,Canada,CAN,627000000000.0,North America,Kenneth Thomson,14,Non-Traded Sectors,True,Media,father,True,True,inherited,7.4,1996
1934,Thomson Corporation (now Thomson Reuters),relation,media,acquired,77,male,Canada,CAN,733000000000.0,North America,Kenneth Thomson,14,Non-Traded Sectors,True,Media,father,True,True,inherited,16.4,2001
1962,Walmart,relation,retail, new,70,male,United States,USA,0.0,North America,S. Robson Walton,14,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,inherited,34.2,2014
1956,Metropolitan Broadcasting Corporation,chairman,media,new,81,male,United States,USA,8100000000000.0,North America,John Kluge,15,Non-Traded Sectors,True,Media,not inherited,True,True,executive,7.2,1996
1909,L'Oreal,relation,cosmetics,new,78,female,France,FRA,1380000000000.0,Europe,Liliane Bettencourt,15,Traded Sectors,True,Consumer,father,True,True,inherited,15.6,2001
